127.0.0.1, 2015-08-05 16:36:30, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.000567
127.0.0.1, 2015-08-05 16:36:30, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.000541
127.0.0.1, 2015-08-05 16:36:30, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000534
127.0.0.1, 2015-08-05 16:36:30, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000532
127.0.0.1, 2015-08-05 16:36:30, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000812
127.0.0.1, 2015-08-05 16:36:30, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000537
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.011730
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.026836
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.046911
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/default/index, HTTP/1.1, 200, 0.088896
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.001946
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/default/index, HTTP/1.1, 200, 0.114374
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/default/index.load, HTTP/1.1, 404, 0.118136
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.001361
127.0.0.1, 2015-08-05 16:36:41, GET, /welcome/appadmin/hooks, HTTP/1.1, 303, 0.174943
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.000750
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000657
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000762
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000533
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000639
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.000534
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.000563
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.000573
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000521
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000659
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000510
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/default/index, HTTP/1.1, 200, 0.036058
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.000544
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.000527
